gigtrust_id,grs,grs_band,engine_amount,engine_rate,sanctioned_amount,approved,defaulted
GT-DLD-2301-DWXNK-J,758,RELIABLE,32500,0.2179,31400.0,1,0
GT-MHF-2305-YNKMX-G,646,EMERGING,9500,0.2953,8000.0,1,0
GT-MHD-2208-X94KB-4,870,STRONG,66000,0.1699,57400.0,1,0
GT-MHR-2401-7Z211-T,826,STRONG,47500,0.1754,39100.0,1,0
GT-TGW-2209-QSGM7-S,570,EMERGING,9500,0.3,9800.0,1,1
GT-TGH-2209-8WRQ8-B,659,RELIABLE,11500,0.2495,0.0,0,0
GT-TND-2308-ZJYYF-U,741,RELIABLE,25000,0.2221,24000.0,1,0
GT-TNF-2106-BSP71-1,726,RELIABLE,20000,0.2261,0.0,0,0
GT-TGF-2210-C13C8-Y,734,RELIABLE,25500,0.2239,0.0,0,0
GT-GJD-2106-642EK-N,641,EMERGING,8000,0.2975,9200.0,1,0
GT-KAF-2212-K37Z5-9,839,STRONG,54000,0.1736,58900.0,1,1
GT-RJF-2204-36GFT-4,817,STRONG,53500,0.1767,55500.0,1,0
GT-TNW-2206-JVHB5-4,760,RELIABLE,25500,0.2175,24000.0,1,0
GT-MHH-2306-8S40F-9,814,STRONG,49000,0.1772,57900.0,1,0
GT-MHD-2302-1EDNE-6,785,RELIABLE,34000,0.2122,29400.0,1,0
GT-WBD-2201-KGF75-Z,695,RELIABLE,21000,0.2358,20500.0,1,1
GT-WBD-2403-2B4VD-J,600,EMERGING,22000,0.3,0.0,0,0
GT-KAD-2203-RCXD6-S,639,EMERGING,9500,0.2985,7800.0,1,0
GT-TGR-2310-5DEB9-0,765,RELIABLE,38500,0.2164,51300.0,1,0
GT-DLC-2212-6VG0F-U,777,RELIABLE,33500,0.2139,26700.0,1,0
GT-KLR-2306-Z1FBN-M,766,RELIABLE,21000,0.2161,26800.0,1,0
GT-TNF-2309-6Q8J5-N,688,RELIABLE,23000,0.2382,20300.0,1,0
GT-KLR-2303-S107Q-V,831,STRONG,56500,0.1747,55600.0,1,0
GT-WBD-2309-TDWKE-H,736,RELIABLE,25500,0.2233,36200.0,1,0
GT-KLW-2210-Z1MH1-A,751,RELIABLE,39000,0.2196,32900.0,1,0
GT-WBF-2103-YR680-K,749,RELIABLE,32500,0.22,29200.0,1,1
GT-MHR-2103-FRQ4G-C,826,STRONG,47000,0.1754,40200.0,1,0
GT-GJC-2306-8HGWP-L,600,EMERGING,21000,0.3,21100.0,1,0
GT-TGR-2301-7G43R-L,744,RELIABLE,36000,0.2213,38600.0,1,0
GT-RJD-2309-YT8RX-I,600,EMERGING,17000,0.3,16800.0,1,0
GT-TNR-2302-P82WH-8,928,PRIME,87500,0.1448,107500.0,1,0
GT-MHF-2110-MHGWE-H,698,RELIABLE,20000,0.2347,19300.0,1,0
GT-MHR-2401-N5WRY-G,731,RELIABLE,29000,0.2247,24800.0,1,0
GT-UPC-2105-4YZ8S-4,665,RELIABLE,25000,0.247,0.0,0,1
GT-DLR-2202-28H7T-A,784,RELIABLE,30000,0.2125,34300.0,1,0
GT-GJR-2101-H0QKQ-1,899,STRONG,74500,0.1671,71600.0,1,0
GT-MHC-2109-1W81B-M,760,RELIABLE,38000,0.2175,33100.0,1,0
GT-KAR-2310-0SQVG-T,660,RELIABLE,28000,0.2491,0.0,0,0
GT-UPR-2308-RVC0B-U,674,RELIABLE,27500,0.2434,0.0,0,1
GT-TND-2209-JN2M3-F,808,STRONG,47500,0.1782,48600.0,1,0
GT-WBR-2103-MEKJA-L,826,STRONG,44500,0.1754,46700.0,1,0
GT-KAR-2403-AC2PN-R,834,STRONG,43000,0.1743,46600.0,1,0
GT-MHD-2206-EFWE4-2,719,RELIABLE,20500,0.2281,17800.0,1,0
GT-KAF-2205-02NGE-I,802,STRONG,38000,0.1792,38600.0,1,0
GT-DLD-2310-18YD3-1,762,RELIABLE,25000,0.217,22100.0,1,0
GT-DLD-2107-ZAK40-6,777,RELIABLE,25500,0.2139,24600.0,1,0
GT-TNR-2112-BNX93-A,787,RELIABLE,40000,0.2119,42800.0,1,0
